2,-65,-30,33.03928054525518,2
1,-65,-33,33.60703004181949,2
24,-60,-39,36.23606890487623,2
13,-62,-36,49.726169632859154,3
29,-59,-38,60.52669406005393,3
25,-60,-35,33.332516918386126,2
8,-63,-33,34.381298459926114,2
30,-59,-29,33.12416645457164,2
39,-55,-40,22.673192160210622,2
40,-55,-34,40.54650658832048,2
41,-55,-30,61.873088437354895,3
49,-52,-36,44.809756453136686,2
55,-50,-36,44.01262694902826,2
57,-49,-38,11.203773023619707,1
53,-51,-33,36.32009739912791,2
9,-63,-28,40.90194634494286,2
65,-46,-39,36.1161314505574,2
73,-44,-38,41.26219180736537,2
76,-41,-40,48.955539873843215,2
81,-39,-40,33.94527155699823,2
85,-37,-38,35.632787233399895,2
79,-40,-30,44.29695204297514,2
45,-54,-27,31.87829752012582,2
50,-52,-30,28.526555548996114,2
51,-52,-26,57.57599076384733,2
69,-45,-24,10.343087394554745,1
