58,-48,24,0,2
32,-53,27,0,3
63,-47,44,0,3
78,-44,40,0,3
59,-48,39,0,1
40,-51,38,0,2
45,-50,38,0,1
62,-47,33,0,1
128,-32,57,0,3
133,-31,66,0,2
129,-32,66,0,2
99,-39,65,0,2
103,-38,65,0,2
98,-39,64,0,1
97,-39,62,0,3
143,-28,61,0,1
132,-31,60,0,2
109,-37,48,0,2
108,-37,46,0,1
113,-36,47,0,3
139,-29,53,0,2
125,-33,44,0,3
138,-29,47,0,2
164,-17,58,0,2
173,-13,60,0,1
177,-11,61,0,2
171,-14,56,0,2
163,-17,53,0,1
112,-36,39,0,1
96,-39,39,0,2
93,-40,39,0,3
124,-33,39,0,3
118,-35,37,0,2
176,-12,50,0,1
92,-40,35,0,2
161,-18,39,0,2
107,-37,33,0,2
